"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1026",248.635494529342,-2.2213121534684,0.356911594531787,-6.22370409788011,4.85552454337764e-10,2.2167981018731e-08
"g927",153.52158401291,-4.31279594980165,0.695617595485562,-6.19995235570657,5.64802559790287e-10,2.49266196387447e-08
"g205",65.8996315638473,3.25065473352397,0.52827190229769,6.15337427447008,7.58515121188002e-10,3.23959361436424e-08
"g60",40.3160590666289,-8.7278383945607,1.42885416120482,-6.10827796953143,1.00711839470529e-09,4.16695235809316e-08
"g280",109.10315287031,3.50772756181422,0.582317326244512,6.02373895421643,1.70433176201118e-09,6.83798561485697e-08
"g1698",32.7190204683389,8.56433286187338,1.44317490907953,5.93436929092384,2.94977219297176e-09,1.14867599514548e-07
"g591",57.7218922565328,5.04735421755157,0.851652109492863,5.92654460817005,3.09375372349625e-09,1.17032283711687e-07
"g1752",288.158912262371,-3.39043071865248,0.573683163993082,-5.90993588700359,3.42240907697279e-09,1.25868600497555e-07
"g1592",197.48075066917,2.87604067644375,0.487273768549938,5.90230967080879,3.58447533642787e-09,1.2826609041704e-07
"g1096",617.685586716864,2.20450742112068,0.376853920224746,5.84976645541056,4.92263705469775e-09,1.67434007720045e-07
"g1395",672.19320683201,3.4162977911679,0.584037294508116,5.84945143622232,4.93196850534875e-09,1.67434007720045e-07
"g1172",505.393060669928,4.12296062142945,0.724067677241032,5.69416471833056,1.23977351816774e-08,4.10365034513521e-07
"g1047",228.214815977707,-1.95815290225858,0.347435155574977,-5.63602407769585,1.74021059066676e-08,5.61960688303119e-07
"g876",48.9215648241043,2.74822024760662,0.489319065337658,5.61641767567382,1.94957070373954e-08,6.14578955178846e-07
"g394",192.304262142079,2.11046394697922,0.381055903529375,5.53846280147323,3.05138039619113e-08,9.39541312687688e-07
"g51",683.686919650655,2.29154893381592,0.417290037984382,5.49150165406462,3.98530591026198e-08,1.18563037199003e-06
"g1323",84.6895198619724,-3.7700548615472,0.686770040653969,-5.48954473604762,4.02971047881807e-08,1.18563037199003e-06
"g1231",120.267949425015,-2.74459457596395,0.500364451265546,-5.48519098233734,4.13022957960551e-08,1.18878781812993e-06
"g1174",1350.61108871891,1.68548422113086,0.309062550618401,5.45353753716968,4.93775167383394e-08,1.39097515237365e-06
"g1424",1011.77617559263,1.82250332416858,0.334889981483983,5.44209568794087,5.26573754100937e-08,1.45246593839508e-06
"g333",73.4354958876634,-3.6750170832912,0.676042659866394,-5.43607275318615,5.4467722285615e-08,1.4717400878807e-06
"g1411",1072.83750810059,-2.30289657492913,0.425918049203408,-5.40690064493915,6.41246906617188e-08,1.69802180872231e-06
"g216",759.709102285828,-2.16805012155863,0.401766872695327,-5.39628891504635,6.80333651419076e-08,1.76619951858599e-06
"g1656",47.0742341775872,3.49617971235284,0.648660779926085,5.38984292028759,7.05192950606242e-08,1.79552974346666e-06
"g75",366.312722929952,-2.2339055137815,0.415627191051898,-5.37478192446403,7.66754253175982e-08,1.91543892680189e-06
"g1387",17.0820458820501,7.63845366440442,1.42253417140355,5.36960996646421,7.89071104366982e-08,1.93468544848497e-06
"g1306",737.472162199417,-1.71791227992548,0.32024443388268,-5.36437826287039,8.12285209047829e-08,1.95539203050786e-06
"g1768",486.421459683147,2.77508603111132,0.520646961612245,5.33007245930704,9.81735892163916e-08,2.32110414504469e-06
"g578",1314.58721592433,-3.01241886219392,0.565900506850342,-5.32323054269783,1.01940413900566e-07,2.3678790877956e-06
"g1279",1661.01096254185,-2.36819982484265,0.446756812174451,-5.30087009376796,1.15252077160211e-07,2.6309267268986e-06
"g675",605.324250812624,-2.43496045202514,0.460104815984959,-5.29218640498807,1.20862605356847e-07,2.71223880495704e-06
"g1322",370.24564266751,-3.35553984619431,0.635787700938994,-5.27776778512469,1.30767028579631e-07,2.88559243065718e-06
"g1305",4108.49999142877,-1.54374222734343,0.292781417803085,-5.27267829675482,1.34447115616268e-07,2.91816362419572e-06
"g44",48.509390413126,-3.24076086063896,0.615684649815468,-5.26367006487862,1.41207764503299e-07,3.01546903552205e-06
