"","Control_1","Control_2","Control_3","Heat_treated_42_12h_1","Heat_treated_42_12h_2","Heat_treated_42_12h_3"
"g477",1168.7710530349,1244.07847752504,1804.42606675851,2063.05247920866,2882.44703167686,1346.40865839327
"g478",121.364533430325,94.0667195756519,158.544232079267,205.201027146981,304.671702812411,96.907119999006
"g479",40.7948011530505,18.4444548187553,22.7743095804473,48.7697508465918,18.2522218274716,43.7368417694629
"g480",223.351536312952,189.977884633179,177.814801724261,173.914771886903,115.129399219436,176.662537343321
"g481",250.888027091261,197.355666560681,218.107810981976,311.94236862254,525.102381805721,309.588232917178
"g482",18.3576605188727,27.6666822281329,12.263089774087,14.7229436518013,40.7164948458982,24.0123837165679
"g486",3.05961008647879,5.53333644562658,0,21.1642314994644,15.4441877001683,28.3003093802407
"g487",1212.62546427443,604.978118055173,607.022943817306,532.786523399559,824.158016363525,1009.37770122858
"g488",33.6557109512667,5.53333644562658,21.0224396127206,39.567911064216,32.2923924639882,24.0123837165679
"g498",235.589976658867,367.04465089323,389.791067819194,260.412065841235,287.823498048591,248.699688493024
"g499",211.113095967036,246.233471830383,239.130250594696,218.083602842307,120.745467474043,222.114549378253
"g500",298.821918446095,361.511314447603,307.453179336038,592.598481985002,953.327586219478,364.473681412191
"g501",369.192950435107,301.566836286649,261.904560175144,120.544101149123,96.8771773919646,152.650153626753
"g502",370.212820463933,336.611300442284,286.430739723318,450.890149336415,502.638108787295,328.455105837339
"g503",192.755435448164,110.666728912532,91.097238321789,102.140421584371,60.3727337370214,104.625386193617
"g504",166.238814698681,141.100079363478,127.010572660187,400.280030533348,634.615712770551,350.752319288438
"g505",6.11922017295758,9.22222740937764,1.75186996772671,18.4036795647516,9.82811944556163,11.1486067255494
"g507",45.8941512971818,13.8333411140665,14.0149597418137,48.7697508465918,11.2321365092133,6.86068106187653
"g508",551.749685595008,176.144543519113,109.49187298292,413.162606228674,231.662815502524,190.383899467074
"g511",1624.65295592024,1494.92306306011,1135.21173908691,1463.09252539775,1184.990401722,1492.19813095815
"g512",716.968630264863,713.800401485829,635.928798284797,1055.45102303851,672.524173489146,909.897825831375
"g513",1082.08210058466,280.35571324508,472.128956302349,209.801947038168,393.124777822465,156.938079290426
"g517",7291.05083607895,4016.28003678396,4747.56761253939,4335.90690545548,8120.83469616121,3519.52938474266
"g518",3.05961008647879,4.61111370468882,12.263089774087,16.5633116082765,4.21205119095498,11.1486067255494
"g519",194.795175505816,292.344608877271,256.648950271963,235.567098428821,235.874866693479,282.145508669672
"g520",93.8280426520162,122.655624544723,81.4619534992921,154.590908343914,116.533416283088,134.640865839327
"g521",4.07948011530505,9.22222740937764,6.13154488704349,20.2440475212268,0,5.1455107964074
"g522",10.1987002882626,31.355573191884,15.7668297095404,0,5.61606825460664,6.00309592914196
"g523",2633.30441442941,181.677879964739,388.91513283533,750.870126241866,669.716139361842,698.931883178672
"g524",2336.52223604097,1816.77879964739,1645.00589969538,4347.86929717257,5653.97671532524,2064.2074144921
"g525",49.9736314124869,21.2111230415686,23.6502445643106,52.4504867595421,75.8169214371897,26.5851391147716
"g531",85.6690824214061,20.2889003006308,28.0299194836274,64.4128784766307,47.7365801641565,39.44891610579
"g532",4097.83777582392,3693.50207745574,4109.011009303,11718.5429628556,11521.3640243255,7553.60984912606
"g533",1579.77867465188,3373.49078635034,2845.03682758818,1415.2429585294,1190.60646997661,1149.16407786432
"g538",2201.8993922359,2111.89007674748,1920.92541961234,3142.42828568134,3418.7815499918,3140.47675607398
"g539",383.471130838675,1151.85620343127,1040.61076082967,1394.99891100817,1119.00159973037,533.4179525609
"g540",16.3179204612202,30.4333504509462,31.5336594190808,40.4880950424536,32.2923924639882,36.0185755748518
"g541",0,0,0.875934983863356,1.84036795647516,21.0602559547749,0
"g542",312.080228820836,384.566882971047,409.061637464187,700.260007438799,825.562033427177,580.585134861301
"g543",0,0,0,0,15.4441877001683,1.71517026546913
"g544",5658.23891992811,6201.94793280646,5897.67024635198,4453.69045466989,8988.51724149794,4606.08974791736
"g545",450.782552741208,679.678160071132,558.846519704821,869.573859434514,898.570920737063,704.934979107814
"g546",2.03974005765253,8.30000466843987,8.75934983863356,2.76055193471274,8.42410238190997,0
"g547",18.3576605188727,20.2889003006308,30.6577244352175,7.36147182590065,9.82811944556163,10.2910215928148
"g548",219.272056197646,341.222414146972,289.058544674908,242.008386276484,293.439566303197,251.272443891228
"g549",3362.51148504019,2709.49041287515,2456.12169475285,1640.68803319761,2245.02328477901,1504.20432281643
"g550",61.1922017295758,28.5889049690707,39.417074273851,77.2954541719568,49.1405972278081,52.3126930968085
"g551",1252.40039539865,1660.92315642891,1725.59191821081,657.011360461633,475.961784577913,1083.98760777649
"g552",434.464632279988,542.266971671405,490.52359096348,795.03895719727,1277.65552792301,798.411758575881
"g553",1663.40801701563,2088.83450822403,2689.1204004605,1247.76947449016,2142.53003913243,1234.06500600504
"g554",3078.98761702649,5402.38081641342,6242.78862999414,1067.41341475559,2093.38944190463,1491.34054582541
"g555",91.7883025943636,626.189241096741,189.201956514485,46.9293828901166,56.1606825460664,36.8761607075864
"g557",0,0,0,10.1220237606134,0,2.5727553982037
"g558",5110.5687144484,93.1444968347141,249.641470401057,892.578458890453,471.749733386958,1647.4210399831
"g559",0,0,0.875934983863356,22.0844154777019,11.2321365092133,14.5789472564876
"g560",2133.56810030454,330.155741255719,828.634494734735,2024.40475212268,2289.95183081586,2609.63155891129
"g563",17.3377904900465,11.9888956321909,24.526179548174,30.3660712818402,14.0401706365166,20.5820431856296
"g564",230.490626514735,214.877898638499,216.355941014249,256.731329928285,169.886064701851,299.297211324364
"g565",658.836038621766,484.166938992326,479.136436173256,719.583870981788,475.961784577913,657.767796807412
"g566",760.823041504392,1063.32282030124,1032.7273459749,1138.26758107989,946.30750090122,1266.65324104895
"g568",353.894900002713,833.689357807738,624.541643494573,189.557899516942,119.341450410391,119.204333450105
"g569",227.431016428257,612.355899982675,641.184408187977,455.491069227603,272.379310348422,352.467489553907
"g571",77.510122190796,203.811225747246,135.76992249882,61.6523265419179,105.301279773875,84.9009281407221
"g572",720.028240351341,612.355899982675,436.215621963951,380.956166990358,428.225204413757,482.820429729561
"g573",76.4902521619697,118.044510840034,84.0897584508822,78.2156381501944,36.5044436549432,90.0464389371295
"g574",47.9338913548343,172.455652555362,143.65333735359,21.1642314994644,30.8883754003365,34.3034053093827
"g575",1220.78442450504,3946.19110847269,3419.65017700254,544.748915116648,1099.34536083925,794.981418044943
"g576",8.1589602306101,18.4444548187553,6.13154488704349,8.28165580413823,9.82811944556163,1.71517026546913
"g578",743.485251014346,3435.27970999317,2838.90528270114,245.689122189434,310.287771067017,313.876158580851
"g579",1.01987002882626,98.6778332803407,52.5560990318014,12.8825756953261,21.0602559547749,6.00309592914196
"g580",141.761934006851,1125.11174394407,666.586522720014,345.068991839093,318.711873448927,279.572753271469
"g581",60.1723317007495,60.8667009018924,65.6951237897517,121.464285127361,102.493245646571,148.36222796308
"g583",2968.84165391325,2055.63448955027,1983.9927384505,2889.377691666,1632.87184502688,1583.95974016074
"g584",119.324793372673,113.433397135345,70.0747987090685,953.310601454134,516.678279423811,535.133122826369
"g586",11.2185703170889,40.5778006012616,33.2855293868075,61.6523265419179,46.3325631005048,88.3312686716603
"g587",2623.10571414115,5598.81426023316,5059.40046679475,1990.35794492789,2541.27088520951,1723.74611679648
"g588",285.563608071354,320.933513846342,351.249928529206,77.2954541719568,11.2321365092133,82.3281727425184
"g589",852.611344098756,894.556058709631,921.483603024251,249.369858102384,71.6048702462347,210.965942652703
"g590",131.563233718588,280.35571324508,182.194476643578,568.673698550825,1089.51724139369,279.572753271469
"g591",2.03974005765253,1.84444548187553,6.13154488704349,72.6945342807689,219.026661929659,44.5944269021974
"g592",675.153959082986,553.333644562658,530.816600221194,702.100375395274,745.533060799032,897.891633973091
"g598",13006.4024776213,1835.22325446615,4789.61249176483,1469.53381324542,2037.22875935856,1711.73992493819
"g599",64.2518118160545,69.1667055703323,70.9507336929319,69.9339823460562,91.261109137358,77.182661946111
"g600",2468.08546975956,1740.23431214956,1769.38866740398,1043.48863132142,818.541948108919,1367.84828671163
"g601",241.709196831824,204.733448488184,153.288622176087,206.121211125218,138.997689301514,181.808048139728
"g602",2192.72056197646,2535.19031483791,2379.91535115674,2129.30572564176,1583.73124779907,1921.84828245816
"g603",230.490626514735,122.655624544723,155.916427127677,457.331437184078,174.098115892806,327.597520704604
"g604",1165.71144294842,1364.88965658789,1090.53905490988,2271.01405829035,1764.84944901014,2039.3374456428
"g606",42.834541210703,35.044464155635,33.2855293868075,25.7651513906523,35.1004265912915,37.7337458403209
"g607",337.576979541493,322.777959328217,263.65643014287,151.830356409201,162.865979383593,197.24458052895
"g608",1460.45388127921,1220.10068626066,1055.50165555534,1496.21914861431,1044.58869535684,1131.15479007689
"g609",1658.3086668715,4473.70251628909,5069.03575161724,2985.99700938095,2829.0943832581,2308.61917732145
"g611",749.604471187303,783.889329797099,678.849612494101,1071.09415066854,789.057589772234,809.560365301431
"g612",25.4967507206566,207.500116710997,122.63089774087,1031.52623960433,657.079985788977,454.52012034932
"g614",25.4967507206566,58.1000326790791,63.943253822025,48.7697508465918,15.4441877001683,30.8730647784444
"g615",1346.22843805067,2143.24564993936,2570.86917763895,3558.35144384473,4066.03341633521,2178.2662371458
"g616",180.516995102249,166.922316109735,148.908947256771,347.829543773806,324.327941703534,371.334362474067
"g617",238.649586745345,264.677926649138,262.780495159007,563.152594681399,636.019729834203,499.114547251518
"g618",1318.69194727236,1408.23412541196,1125.57645426441,2787.23727008163,4921.07980809907,1857.52939750307
